% ./projectseries.x -T0 0 -T1 400 -bd UBbasis/ -Nb 4 -d data/uUB3 -ul uUB3 -o uUB3.asc 
% forcing dissipation energy
3.04371 3.0477 0.385902
3.04376 3.04692 0.385882
3.04381 3.04654 0.385866
3.04386 3.04639 0.385852
3.04393 3.04636 0.38584
3.04403 3.04635 0.385831
3.04413 3.04629 0.385825
3.04423 3.04618 0.385822
3.04431 3.04606 0.385821
3.04439 3.04594 0.385821
3.04448 3.04587 0.38582
3.0446 3.04584 0.385816
3.04475 3.04583 0.385809
3.04493 3.04582 0.385796
3.04513 3.0458 0.385779
3.04535 3.04574 0.385757
3.04557 3.04565 0.385733
3.04579 3.04551 0.385709
3.046 3.04534 0.385685
3.04619 3.04515 0.385666
3.04636 3.04497 0.385651
3.04651 3.04482 0.385644
3.04665 3.04472 0.385644
3.04678 3.04469 0.385654
3.04693 3.04475 0.385673
3.04709 3.04489 0.385703
3.04727 3.04511 0.385744
3.04748 3.04541 0.385798
3.0477 3.04579 0.385864
3.04793 3.04624 0.385942
3.04817 3.04676 0.386033
3.04841 3.04735 0.386135
3.04864 3.04801 0.386248
3.04887 3.04874 0.38637
3.0491 3.04953 0.386499
3.04932 3.05038 0.386633
3.04955 3.05128 0.386769
3.04977 3.0522 0.386906
3.05 3.05314 0.387039
3.05021 3.05406 0.387166
3.05041 3.05495 0.387285
3.05058 3.05577 0.387393
3.05071 3.0565 0.387487
3.05078 3.0571 0.387566
3.05079 3.05757 0.387626
3.05073 3.05787 0.387665
3.05058 3.058 0.387682
3.05036 3.05795 0.387674
3.05004 3.05771 0.38764
3.04964 3.05727 0.387578
3.04915 3.05662 0.387486
3.04858 3.05575 0.387364
3.04792 3.05465 0.387212
3.04717 3.05331 0.387029
3.04633 3.05172 0.386815
3.0454 3.04989 0.386571
3.04438 3.04781 0.386298
3.04327 3.0455 0.385998
3.04207 3.04296 0.385673
3.0408 3.04023 0.385325
3.03946 3.03732 0.384957
3.03807 3.03425 0.384572
3.03665 3.03107 0.384175
3.0352 3.0278 0.383768
3.03375 3.02448 0.383358
3.03232 3.02114 0.382948
3.03093 3.01782 0.382546
3.02959 3.01457 0.382156
3.02831 3.01142 0.381787
3.02714 3.00843 0.381444
3.02607 3.00566 0.381135
3.02513 3.00316 0.380867
3.02434 3.001 0.380647
3.02373 2.99924 0.380483
3.02332 2.99795 0.380381
3.02313 2.99718 0.380346
3.02317 2.99698 0.380385
3.02347 2.99741 0.380502
3.02404 2.99849 0.380701
3.02489 3.00025 0.380983
3.02602 3.00271 0.38135
3.02743 3.00587 0.3818
3.02911 3.00972 0.382333
3.03107 3.01424 0.382944
3.03327 3.0194 0.383628
3.03571 3.02516 0.384377
3.03836 3.03144 0.385184
3.0412 3.03817 0.386038
3.04419 3.04526 0.386928
3.0473 3.0526 0.387843
3.05049 3.0601 0.388771
3.05371 3.06762 0.389698
3.05692 3.07506 0.390612
3.06007 3.0823 0.3915
3.06311 3.08922 0.39235
3.06599 3.09572 0.393152
3.06866 3.10171 0.393893
3.07108 3.10708 0.394563
3.0732 3.11177 0.395155
3.07498 3.11571 0.395659
3.07638 3.11884 0.396069
3.07738 3.12112 0.396377
3.07795 3.12251 0.39658
3.07805 3.123 0.396671
3.07766 3.12256 0.396647
3.07678 3.12118 0.396504
