% ./projectseries.x -T0 0 -T1 400 -bd basis2/ -Nb 4 -d data/u2 -ul u2 -o u2basis2.asc 
% forcing dissipation energy
1.14414 4.80941 0.269012
1.3259 3.77171 0.251902
1.45907 3.33453 0.235994
1.54721 3.13322 0.223505
1.61132 3.0176 0.218512
1.65967 2.97715 0.223206
1.7006 3.03094 0.235221
1.73063 3.24771 0.248972
1.74628 3.42658 0.261508
1.75961 3.54516 0.273312
1.78877 3.64109 0.286524
1.84534 3.73419 0.300843
1.92907 3.89546 0.313733
2.04089 4.05988 0.322428
2.17391 4.15652 0.326138
2.3097 4.17521 0.326175
2.4514 4.14884 0.324397
2.55769 4.11869 0.322443
2.62281 4.03821 0.323077
2.66264 3.93684 0.327981
2.70107 3.88295 0.336087
2.7427 3.8416 0.345522
2.76567 3.81344 0.355138
2.79304 3.80339 0.364387
2.83894 3.81973 0.372434
2.89002 3.89219 0.377384
2.94185 4.00118 0.378008
2.98817 4.06427 0.37552
3.01267 4.01389 0.371972
3.02046 3.88003 0.367474
3.04325 3.73911 0.361
3.0823 3.59905 0.351977
3.10416 3.43033 0.341552
3.09866 3.24535 0.331444
3.06447 3.0944 0.322115
3.01302 2.96121 0.313483
2.95864 2.83293 0.3058
2.90935 2.71843 0.299417
2.86922 2.62498 0.294704
2.84022 2.55501 0.292023
2.82352 2.50955 0.291507
2.81763 2.48532 0.292882
2.81719 2.47653 0.295636
2.81635 2.47885 0.299277
2.81122 2.48788 0.30343
2.80027 2.49847 0.307809
2.78398 2.50859 0.312183
2.76382 2.52154 0.316357
2.74142 2.54242 0.32016
2.71831 2.57126 0.32346
2.69609 2.60334 0.326192
2.67619 2.63573 0.328342
2.65944 2.66571 0.329934
2.64622 2.68811 0.331039
2.63683 2.70097 0.331713
2.63156 2.70919 0.331912
2.6303 2.71776 0.33148
2.63178 2.72358 0.33024
2.6332 2.72182 0.328047
2.6308 2.71047 0.324799
2.62141 2.68712 0.3205
2.60362 2.64828 0.315321
2.57804 2.59251 0.309592
2.5471 2.5231 0.303738
2.51421 2.44673 0.298233
2.48266 2.37171 0.293576
2.45501 2.30655 0.290195
2.43299 2.25724 0.288333
2.41779 2.22592 0.288006
2.41033 2.21081 0.289063
2.41173 2.21004 0.291282
2.42309 2.22372 0.294429
2.4432 2.24837 0.298321
2.46658 2.2754 0.302845
2.4857 2.29736 0.307909
2.49587 2.31434 0.313342
2.49736 2.33142 0.318866
2.49331 2.35186 0.324202
2.48685 2.3762 0.32915
2.48016 2.4031 0.333607
2.47456 2.43034 0.337539
2.47065 2.4554 0.340982
2.46846 2.47622 0.34401
2.46771 2.4925 0.346689
2.46815 2.50595 0.349044
2.46969 2.51878 0.351074
2.47228 2.53173 0.352776
2.47577 2.54374 0.354156
2.47995 2.55353 0.355204
2.4846 2.56138 0.355871
2.48959 2.5692 0.356073
2.49475 2.57883 0.355719
2.49976 2.58987 0.354767
2.50424 2.59928 0.353253
2.50788 2.60322 0.351297
2.51056 2.59942 0.349074
2.51243 2.58812 0.346765
2.51386 2.57152 0.344506
2.51527 2.55247 0.342357
2.5171 2.5336 0.340294
2.51972 2.51712 0.338224
2.5235 2.50491 0.336033
2.52871 2.49807 0.33363
2.53547 2.49608 0.330999
2.54371 2.49655 0.32822
2.55327 2.49621 0.325456
2.56399 2.49274 0.32292
2.57588 2.48605 0.320816
2.58911 2.47805 0.319288
2.60394 2.47141 0.31839
2.62046 2.46808 0.318086
2.63824 2.46844 0.318276
2.65603 2.4713 0.318826
2.67172 2.47487 0.319593
2.68268 2.47787 0.320448
2.68649 2.47996 0.321267
2.68168 2.4819 0.321931
2.66828 2.48585 0.322309
2.64779 2.49495 0.322269
2.62301 2.51143 0.321712
2.59759 2.53505 0.320629
2.57571 2.56403 0.31914
2.5619 2.59681 0.317478
2.5607 2.63202 0.31594
2.5756 2.6683 0.314828
2.60754 2.70544 0.314365
2.65482 2.7443 0.314614
2.71434 2.78514 0.315445
2.78231 2.82659 0.316587
2.85411 2.86562 0.317718
2.92303 2.89644 0.318556
2.97823 2.91258 0.318941
