0 5  -0.09378176903109 3.04764299546296 
0 6  0.00003292776271 3.14151658987916 
0 7  0.09389206178276 3.23548125025710 
1 6  0.09389206178276 3.23548125025710 
1 7  0.52364532731423 3.66524566464316 
1 8  0.95320615144451 -2.18822072653556 
2 7  0.95320615144451 -2.18822072653556 
2 8  1.04720851461417 -2.09436338205838 
2 9  1.14116197668773 -2.00050244746430 
3 8  1.14116197668773 -2.00050244746430 
3 9  1.57076475622383 4.71230755278927 
3 10  2.00039461762756 -1.14111228854865 
4 9  2.00039461762756 -1.14111228854865 
4 10  2.09435238287970 -1.04717248433735 
4 11  2.18823945235282 -0.95329665718131 
5 10  2.18823945235282 -0.95329665718131 
5 11  2.61796638156390 -0.52352510419180 
6 11  3.04760578017610 -0.09384230653766 
